epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6895238161087036,0.0010000000474974513,0.42989322543144226,0.8866666555404663,0.1715518683195114
1,0.8057143092155457,0.0010000000474974513,0.21459506452083588,0.8533333539962769,0.14548464119434357
2,0.8414285778999329,0.0010000000474974513,0.16085229814052582,0.8999999761581421,0.09219115972518921
3,0.8509523868560791,0.0010000000474974513,0.14153259992599487,0.9266666769981384,0.07937652617692947
4,0.8738095164299011,0.0010000000474974513,0.119344063103199,0.8822222352027893,0.09264754503965378
5,0.8861904740333557,0.0010000000474974513,0.0969984158873558,0.9244444370269775,0.06101463735103607
6,0.9057142734527588,0.0010000000474974513,0.08633313328027725,0.9244444370269775,0.05955186113715172
7,0.9019047617912292,0.0010000000474974513,0.08020040392875671,0.9377777576446533,0.0537998229265213
8,0.9038095474243164,0.0010000000474974513,0.08465968817472458,0.9266666769981384,0.057607900351285934
9,0.9157142639160156,0.0010000000474974513,0.0718642845749855,0.9222221970558167,0.0687255710363388
10,0.9200000166893005,0.0005000000237487257,0.0652557834982872,0.9288889169692993,0.05891580879688263
11,0.930476188659668,0.0005000000237487257,0.05910702794790268,0.9444444179534912,0.048580434173345566
12,0.9342857003211975,0.0005000000237487257,0.062752366065979,0.9422222375869751,0.042057283222675323
13,0.938095211982727,0.0005000000237487257,0.05754658952355385,0.9399999976158142,0.045330364257097244
14,0.9395238161087036,0.0005000000237487257,0.04633161798119545,0.9555555582046509,0.042232684791088104
