epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7438095211982727,0.0010000000474974513,0.29095160961151123,0.804444432258606,0.17052499949932098
1,0.8461904525756836,0.0010000000474974513,0.15358592569828033,0.8822222352027893,0.10065886378288269
2,0.8904761672019958,0.0010000000474974513,0.10664873570203781,0.8955555558204651,0.08529307693243027
3,0.8952381014823914,0.0010000000474974513,0.10391750186681747,0.9222221970558167,0.057282764464616776
4,0.907619059085846,0.0010000000474974513,0.08464279025793076,0.9266666769981384,0.057247430086135864
5,0.9147619009017944,0.0010000000474974513,0.07938843220472336,0.9399999976158142,0.0419469028711319
6,0.9142857193946838,0.0010000000474974513,0.07351812720298767,0.9511111378669739,0.04166022688150406
7,0.9219047427177429,0.0010000000474974513,0.06563643366098404,0.948888897895813,0.03754778951406479
8,0.9295238256454468,0.0010000000474974513,0.06051452457904816,0.9466666579246521,0.03985099866986275
9,0.939047634601593,0.0010000000474974513,0.05564987659454346,0.9422222375869751,0.04471142962574959
