epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9295238256454468,4.999999873689376e-05,0.06733839958906174,0.948888897895813,0.04056396335363388
1,0.9347618818283081,4.999999873689376e-05,0.06251336634159088,0.9444444179534912,0.037428636103868484
2,0.9295238256454468,4.999999873689376e-05,0.0571923702955246,0.9466666579246521,0.03714262321591377
3,0.9376190304756165,4.999999873689376e-05,0.04814815893769264,0.9577777981758118,0.03420082479715347
4,0.9490476250648499,4.999999873689376e-05,0.04823644086718559,0.9422222375869751,0.038980357348918915
5,0.9514285922050476,4.999999873689376e-05,0.042658958584070206,0.9599999785423279,0.02855214849114418
6,0.9495238065719604,4.999999873689376e-05,0.038191407918930054,0.9599999785423279,0.029113739728927612
7,0.9571428298950195,4.999999873689376e-05,0.03907635062932968,0.9577777981758118,0.028987346217036247
8,0.949999988079071,4.999999873689376e-05,0.04031318053603172,0.9577777981758118,0.027875972911715508
9,0.9585714340209961,4.999999873689376e-05,0.04277661070227623,0.9577777981758118,0.027004806324839592
